customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,AvgMonthlySpend,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No
7590-VHVEG,Female,0,1,0,1,0,No phone service,No,Yes,No,No,No,No,1,Electronic check,29.85,29.85,0,0-12,29.847015298470154,True,False,False,True,False,False
5575-GNVDE,Male,0,0,0,34,1,No,Yes,No,Yes,No,No,No,0,Mailed check,56.95,1889.5,0,25-36,55.57336596068834,False,True,False,True,False,False
3668-QPYBK,Male,0,0,0,2,1,No,Yes,Yes,No,No,No,No,1,Mailed check,53.85,108.15,1,0-12,54.072296385180735,True,False,False,True,False,False
7795-CFOCW,Male,0,0,0,45,0,No phone service,Yes,No,Yes,Yes,No,No,0,Bank transfer (automatic),42.3,1840.75,0,37-48,40.90546465452299,False,True,False,True,False,False
9237-HQITU,Female,0,0,0,2,1,No,No,No,No,No,No,No,1,Electronic check,70.7,151.65,1,0-12,75.82120893955302,True,False,False,False,True,False
9305-CDSKC,Female,0,0,0,8,1,Yes,No,No,Yes,No,Yes,Yes,1,Electronic check,99.65,820.5,1,0-12,102.5612179847752,True,False,False,False,True,False
1452-KIOVK,Male,0,0,1,22,1,Yes,No,Yes,No,No,Yes,No,1,Credit card (automatic),89.1,1949.4,0,13-24,88.60868814232663,True,False,False,False,True,False
6713-OKOMC,Female,0,0,0,10,0,No phone service,Yes,No,No,No,No,No,0,Mailed check,29.75,301.9,0,0-12,30.18969810301897,True,False,False,True,False,False
7892-POOKP,Female,0,1,0,28,1,Yes,No,No,Yes,Yes,Yes,Yes,1,Electronic check,104.8,3046.05,1,25-36,108.78711147460189,True,False,False,False,True,False
6388-TABGU,Male,0,0,1,62,1,No,Yes,Yes,No,No,No,No,0,Bank transfer (automatic),56.15,3487.95,0,61-72,56.25716732714947,False,True,False,True,False,False
9763-GRSKD,Male,0,1,1,13,1,No,Yes,No,No,No,No,No,1,Mailed check,49.95,587.45,0,13-24,45.1881139375851,True,False,False,True,False,False
7469-LKBCI,Male,0,0,0,16,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Credit card (automatic),18.95,326.8,0,13-24,20.424872344547847,False,False,True,False,False,True
8091-TTVAX,Male,0,1,0,58,1,Yes,No,No,Yes,No,Yes,Yes,0,Credit card (automatic),100.35,5681.1,0,49-60,97.94983112098083,False,True,False,False,True,False
0280-XJGEX,Male,0,0,0,49,1,Yes,No,Yes,Yes,No,Yes,Yes,1,Bank transfer (automatic),103.7,5036.3,1,49-60,102.78142289505531,True,False,False,False,True,False
5129-JLPIS,Male,0,0,0,25,1,No,Yes,No,Yes,Yes,Yes,Yes,1,Electronic check,105.5,2686.05,0,25-36,107.44157023371908,True,False,False,False,True,False
3655-SNQYZ,Female,0,1,1,69,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Credit card (automatic),113.25,7895.15,0,61-72,114.42229793869863,False,False,True,False,True,False
8191-XWSZG,Female,0,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.65,1022.95,0,49-60,19.67207755369701,False,True,False,False,False,True
9959-WOFKT,Male,0,0,1,71,1,Yes,Yes,No,Yes,No,Yes,Yes,0,Bank transfer (automatic),106.7,7382.25,0,61-72,103.9752056687244,False,False,True,False,True,False
4190-MFLUW,Female,0,1,1,10,1,No,No,No,Yes,Yes,No,No,0,Credit card (automatic),55.2,528.35,1,0-12,52.83447165528345,True,False,False,True,False,False
4183-MYFRB,Female,0,0,0,21,1,No,No,Yes,Yes,No,No,Yes,1,Electronic check,90.05,1862.9,0,13-24,88.7091013852315,True,False,False,False,True,False
8779-QRDMV,Male,1,0,0,1,0,No phone service,No,No,Yes,No,No,Yes,1,Electronic check,39.65,39.65,1,0-12,39.646035396460356,True,False,False,True,False,False
1680-VDCWW,Male,0,1,0,12,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Bank transfer (automatic),19.8,202.25,0,13-24,16.854026216448197,False,True,False,False,False,True
1066-JKSGK,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.15,20.15,1,0-12,20.14798520147985,True,False,False,False,False,True
3638-WEABW,Female,0,1,0,58,1,Yes,No,Yes,No,Yes,No,No,1,Credit card (automatic),59.9,3505.1,0,49-60,60.43265442645788,False,False,True,True,False,False
6322-HRPFA,Male,0,1,1,49,1,No,Yes,Yes,No,Yes,No,No,0,Credit card (automatic),59.6,2970.3,0,49-60,60.61824363623748,True,False,False,True,False,False
6865-JZNKO,Female,0,0,0,30,1,No,Yes,Yes,No,No,No,No,1,Bank transfer (automatic),55.3,1530.6,0,25-36,51.01982993390022,True,False,False,True,False,False
6467-CHFZW,Male,0,1,1,47,1,Yes,No,Yes,No,No,Yes,Yes,1,Electronic check,99.35,4749.15,1,37-48,101.04552969036234,True,False,False,False,True,False
8665-UTDHZ,Male,0,1,1,1,0,No phone service,No,Yes,No,No,No,No,0,Electronic check,30.2,30.2,1,0-12,30.196980301969802,True,False,False,True,False,False
5248-YGIJN,Male,0,1,0,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Credit card (automatic),90.25,6369.45,0,,88.46446046602712,False,False,True,True,False,False
8773-HHUOZ,Female,0,0,1,17,1,No,No,No,No,No,Yes,Yes,1,Mailed check,64.7,1093.1,1,13-24,64.29962176693078,True,False,False,True,False,False
3841-NFECX,Female,1,1,0,71,1,Yes,Yes,Yes,Yes,Yes,No,No,1,Credit card (automatic),96.35,6766.95,0,61-72,95.30902069152015,False,False,True,False,True,False
4929-XIHVW,Male,1,1,0,2,1,No,No,No,Yes,No,Yes,Yes,1,Credit card (automatic),95.5,181.65,0,0-12,90.82045897705115,True,False,False,False,True,False
6827-IEAUQ,Female,0,1,1,27,1,No,Yes,Yes,Yes,Yes,No,No,0,Mailed check,66.15,1874.45,0,25-36,69.42381694882611,False,True,False,True,False,False
7310-EGVHZ,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Bank transfer (automatic),20.2,20.2,0,0-12,20.197980201979803,True,False,False,False,False,True
3413-BMNZE,Male,1,0,0,1,1,No,No,No,No,No,No,No,0,Bank transfer (automatic),45.25,45.25,0,0-12,45.245475452454755,True,False,False,True,False,False
6234-RAAPL,Female,0,1,1,72,1,Yes,Yes,Yes,No,Yes,Yes,No,0,Bank transfer (automatic),99.9,7251.7,0,,100.71791566956156,False,False,True,False,True,False
6047-YHPVI,Male,0,0,0,5,1,No,No,No,No,No,No,No,1,Electronic check,69.7,316.9,1,0-12,63.378732425351494,True,False,False,False,True,False
6572-ADKRS,Female,0,0,0,46,1,No,No,No,Yes,No,No,No,1,Credit card (automatic),74.8,3548.3,0,37-48,77.13678883306775,True,False,False,False,True,False
5380-WJKOV,Male,0,0,0,34,1,Yes,No,Yes,Yes,No,Yes,Yes,1,Electronic check,106.35,3549.25,1,25-36,104.38939885470924,True,False,False,False,True,False
8168-UQWWF,Female,0,0,0,11,1,Yes,No,No,Yes,No,Yes,Yes,1,Bank transfer (automatic),97.85,1105.4,1,0-12,100.48999554549505,True,False,False,False,True,False
8865-TNMNX,Male,0,1,1,10,1,No,No,Yes,No,No,No,No,0,Mailed check,49.55,475.7,0,0-12,47.56952430475695,False,True,False,True,False,False
9489-DEDVP,Female,0,1,1,70,1,Yes,Yes,Yes,No,No,Yes,No,1,Credit card (automatic),69.2,4872.35,0,61-72,69.60490056442777,False,False,True,True,False,False
9867-JCZSP,Female,0,1,1,17,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.75,418.25,0,13-24,24.602796454138506,False,True,False,False,False,True
4671-VJLCL,Female,0,0,0,63,1,Yes,Yes,Yes,Yes,Yes,Yes,No,1,Credit card (automatic),79.85,4861.45,0,61-72,77.1657505305547,False,False,True,True,False,False
4080-IIARD,Female,0,1,0,13,1,Yes,Yes,Yes,No,Yes,Yes,No,1,Electronic check,76.2,981.45,0,13-24,75.49557311097607,True,False,False,True,False,False
3714-NTNFO,Female,0,0,0,49,1,Yes,No,No,No,No,No,Yes,1,Electronic check,84.5,3906.7,0,49-60,79.72840871753323,True,False,False,False,True,False
5948-UJZLF,Male,0,0,0,2,1,No,No,Yes,No,No,No,No,0,Mailed check,49.25,97.0,0,0-12,48.49757512124393,True,False,False,True,False,False
7760-OYPDY,Female,0,0,0,2,1,No,No,No,No,No,Yes,No,1,Electronic check,80.65,144.15,1,0-12,72.07139643017848,True,False,False,False,True,False
7639-LIAYI,Male,0,0,0,52,1,Yes,Yes,No,No,Yes,Yes,Yes,1,Credit card (automatic),79.75,4217.8,0,49-60,81.11138247811061,False,False,True,True,False,False
2954-PIBKO,Female,0,1,1,69,1,Yes,Yes,No,Yes,Yes,No,No,1,Credit card (automatic),64.15,4254.1,0,61-72,61.65353383545821,False,False,True,True,False,False
8012-SOUDQ,Female,1,0,0,43,1,Yes,No,Yes,No,No,Yes,No,1,Electronic check,90.25,3838.75,0,37-48,89.27304820221347,True,False,False,False,True,False
9420-LOJKX,Female,0,0,0,15,1,No,Yes,Yes,No,No,Yes,Yes,1,Credit card (automatic),99.1,1426.4,1,13-24,95.09269938200413,True,False,False,False,True,False
6575-SUVOI,Female,1,1,0,25,1,Yes,Yes,No,No,Yes,Yes,No,1,Credit card (automatic),69.5,1752.65,0,25-36,70.10571957712169,True,False,False,True,False,False
7495-OOKFY,Female,1,1,0,8,1,Yes,No,Yes,No,No,No,No,1,Credit card (automatic),80.65,633.3,1,0-12,79.16151048111898,True,False,False,False,True,False
4667-QONEA,Female,1,1,1,60,1,No,Yes,Yes,Yes,Yes,No,Yes,1,Credit card (automatic),74.85,4456.35,0,61-72,74.27237621270632,False,True,False,True,False,False
1658-BYGOY,Male,1,0,0,18,1,Yes,No,No,No,No,Yes,Yes,1,Electronic check,95.45,1752.55,1,13-24,97.3633479814001,True,False,False,False,True,False
8769-KKTPH,Female,0,1,1,63,1,Yes,Yes,No,No,No,Yes,Yes,1,Credit card (automatic),99.65,6311.2,0,61-72,100.17761876568449,False,True,False,False,True,False
5067-XJQFU,Male,1,1,1,66,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,Electronic check,108.45,7076.35,0,61-72,107.21726179202759,False,True,False,False,True,False
3957-SQXML,Female,0,1,1,34,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Credit card (automatic),24.95,894.3,0,25-36,26.302863815106424,False,False,True,False,False,True
5954-BDFSG,Female,0,0,0,72,1,Yes,No,No,Yes,Yes,Yes,Yes,1,Credit card (automatic),107.5,7853.7,0,,109.07901516803449,False,False,True,False,True,False
0434-CSFON,Female,0,1,0,47,1,Yes,No,No,Yes,No,Yes,Yes,1,Electronic check,100.5,4707.1,0,37-48,100.15085074287076,True,False,False,False,True,False
1215-FIGMP,Male,0,0,0,60,1,Yes,No,Yes,No,No,Yes,No,1,Bank transfer (automatic),89.9,5450.7,0,61-72,90.844848591919,True,False,False,False,True,False
0526-SXDJP,Male,0,1,0,72,0,No phone service,Yes,Yes,Yes,No,No,No,0,Bank transfer (automatic),42.1,2962.0,0,,41.13883175162257,False,False,True,True,False,False
0557-ASKVU,Female,0,1,1,18,1,No,No,No,Yes,Yes,No,No,1,Credit card (automatic),54.4,957.1,0,13-24,53.17192682262876,False,True,False,True,False,False
5698-BQJOH,Female,0,0,0,9,1,Yes,No,No,No,No,Yes,Yes,0,Electronic check,94.4,857.25,1,0-12,95.2489416784258,True,False,False,False,True,False
5122-CYFXA,Female,0,0,0,3,1,No,No,Yes,No,Yes,Yes,Yes,1,Electronic check,75.3,244.1,0,0-12,81.36395453484883,True,False,False,True,False,False
8627-ZYGSZ,Male,0,1,0,47,1,Yes,No,Yes,No,No,No,No,1,Electronic check,78.9,3650.35,0,37-48,77.66685602796589,False,True,False,False,True,False
3410-YOQBQ,Female,0,0,0,31,1,No,No,Yes,Yes,Yes,Yes,Yes,0,Mailed check,79.2,2497.2,0,25-36,80.55457885619724,False,False,True,True,False,False
3170-NMYVV,Female,0,1,1,50,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Bank transfer (automatic),20.15,930.9,0,49-60,18.61796276407447,False,False,True,False,False,True
7410-OIEDU,Male,0,0,0,10,1,No,Yes,No,Yes,No,No,No,1,Mailed check,79.85,887.35,0,0-12,88.73411265887341,True,False,False,False,True,False
2273-QCKXA,Male,0,0,0,1,1,No,No,No,No,Yes,No,No,0,Mailed check,49.05,49.05,0,0-12,49.045095490450954,True,False,False,True,False,False
0731-EBJQB,Female,0,1,1,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Electronic check,20.4,1090.65,0,49-60,20.97399812692668,False,True,False,False,False,True
1891-QRQSA,Male,1,1,1,64,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,Bank transfer (automatic),111.6,7099.0,0,61-72,110.92170168484111,False,False,True,False,True,False
8028-PNXHQ,Male,0,1,1,62,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Bank transfer (automatic),24.25,1424.6,0,61-72,22.977382294544682,False,False,True,False,False,True
5630-AHZIL,Female,0,0,1,3,1,No,Yes,No,No,Yes,No,Yes,1,Bank transfer (automatic),64.5,177.4,0,0-12,59.131362287923736,True,False,False,True,False,False
2673-CXQEU,Female,1,0,0,56,1,Yes,Yes,Yes,Yes,No,Yes,Yes,0,Electronic check,110.5,6139.5,0,49-60,109.63373279690572,False,True,False,False,True,False
6416-JNVRK,Female,0,0,0,46,1,No,No,No,No,No,No,Yes,0,Credit card (automatic),55.65,2688.85,0,37-48,58.453133797535216,False,True,False,True,False,False
5590-ZSKRV,Female,0,1,1,8,1,No,Yes,Yes,No,No,No,No,0,Mailed check,54.65,482.25,0,0-12,60.28049649379383,True,False,False,True,False,False
0191-ZHSKZ,Male,1,0,0,30,1,No,Yes,Yes,No,No,Yes,Yes,1,Electronic check,74.75,2111.3,0,25-36,70.37643207855974,True,False,False,True,False,False
3887-PBQAO,Female,0,1,1,45,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Credit card (automatic),25.9,1216.6,0,37-48,27.035495476676715,False,True,False,False,False,True
5919-TMRGD,Female,0,0,1,1,1,No,No,No,No,No,Yes,No,1,Electronic check,79.35,79.35,1,0-12,79.34206579342066,True,False,False,False,True,False
8108-UXRQN,Female,0,1,1,11,0,No phone service,Yes,No,No,No,Yes,Yes,0,Electronic check,50.55,565.35,0,0-12,51.39498731829711,True,False,False,True,False,False
9191-MYQKX,Female,0,1,0,7,1,No,No,No,Yes,No,No,No,1,Bank transfer (automatic),75.15,496.9,1,0-12,70.9847002185683,True,False,False,False,True,False
9919-YLNNG,Female,0,0,0,42,1,No,No,Yes,Yes,Yes,Yes,Yes,1,Bank transfer (automatic),103.8,4327.5,0,37-48,103.03546896316912,True,False,False,False,True,False
0318-ZOPWS,Female,0,1,0,49,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Bank transfer (automatic),20.15,973.35,0,49-60,19.864245175009845,False,False,True,False,False,True
